trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,q_pos,q_neg,margin_pair_idx,optimizer,weight_decay
21,0.007899042214171923,0.007899042214171923,0.00481316251680255,1.7954538791128745e-05,1024,768,256,0.75,0.35,1,adamw,0.0009720432081137209
22,0.004100414251437044,0.004100414251437044,0.003707063052570447,0.00035518658805520784,256,768,128,0.8,0.4,6,adamw,1.0596881894555725e-05
23,0.006467228237291812,0.006467228237291812,0.00454884945647791,3.683441922587521e-05,256,768,128,0.8,0.4,5,adamw,0.0001659354803484119
24,0.0046682859826928285,0.0046682859826928285,0.0035894929256755858,8.756415571654361e-05,256,768,128,0.8,0.4,6,adamw,6.242389422341012e-05
25,0.004109999386895202,0.004109999386895202,0.003803011693600209,0.00012829987355394176,64,768,128,0.8,0.4,6,adamw,0.0002672518480251452
26,0.0032270814600588796,0.0032270814600588796,0.003240893909242004,0.0009085819031922876,256,768,768,0.7,0.4,4,adamw,0.0001382707750368511
27,0.003633514037165715,0.003633514037165715,0.0030767743941396476,0.000404954527721735,512,512,256,0.8,0.3,4,adamw,2.7948797522447056e-05
28,0.005974740877995412,0.005974740877995412,0.0036975485161480724,3.976293830913679e-05,64,256,128,0.8,0.25,1,adam,0.0005205886796486246
29,0.005474650407951249,0.005474650407951249,0.0041734890546649694,0.00019156721565824134,512,768,768,0.8,0.4,7,adamw,0.0004006015080825724
30,0.004714752632298071,0.004714752632298071,0.003915125875486226,6.022535393540006e-05,128,768,256,0.75,0.25,0,adam,7.57198378122959e-05
31,0.007756295656818716,0.007756295656818716,0.0051248764269985255,1.6205301489153072e-05,256,512,128,0.65,0.3,5,adamw,0.00026697953580373274
32,0.004705948968027311,0.004705948968027311,0.0038893455845787177,4.9137901473900506e-05,128,768,128,0.75,0.25,0,adam,0.00010764447858677629
33,0.005320964434096004,0.005320964434096004,0.003764474434377272,7.368869769049383e-05,128,768,128,0.75,0.25,1,adam,0.00013122092121042593
34,0.003951337492769903,0.003951337492769903,0.0031083359742607873,9.643624844977284e-05,128,768,128,0.75,0.25,2,adam,2.8665088258827734e-05
35,0.005523970246117305,0.005523970246117305,0.003693462989021894,2.478303991076153e-05,128,768,128,0.75,0.35,3,adam,1.931998181810914e-05
36,0.006769872203831325,0.006769872203831325,0.004770854068920016,0.000494818399504397,256,1024,128,0.7,0.35,0,adam,0.0006597347630522098
37,0.005038312460389405,0.005038312460389405,0.004283194639275123,3.569643187175832e-05,64,1024,256,0.6,0.25,1,adamw,7.500674029207058e-05
38,0.005590994899370232,0.005590994899370232,0.004223102983087301,0.00017301554602338446,1024,768,128,0.75,0.4,8,adam,3.800624957812178e-05
39,0.005998672406683315,0.005998672406683315,0.004502936394419521,6.580664505117158e-05,512,1024,256,0.8,0.25,7,adamw,1.0213432439582897e-05
40,0.006171009952729176,0.006171009952729176,0.0036280785062925737,1.1989085030846354e-05,64,512,768,0.65,0.35,3,adam,0.00022467119358564607
41,0.004276893108182818,0.004276893108182818,0.0031650304910726844,0.0002744820863862161,256,256,128,0.6,0.4,2,adamw,2.1712739800153092e-05
42,0.006977222148862565,0.006977222148862565,0.004740684037096798,0.0007262683974131009,256,768,256,0.8,0.4,7,adam,9.657107851075718e-05
43,0.006666158340261568,0.006666158340261568,0.004183630185434595,0.0005854292971345444,256,768,256,0.8,0.4,6,adam,0.0003412817780887539
44,0.007204740261778121,0.007204740261778121,0.004810281144455075,0.0007592402385452273,256,768,256,0.8,0.3,8,adam,0.00017745110168432233
45,0.006136867859191737,0.006136867859191737,0.004943451168946922,0.00011196756432190162,512,512,256,0.8,0.4,7,adam,0.00011389460522986224
46,0.006239118894367876,0.006239118894367876,0.004409396608662643,2.7784740456157828e-05,64,768,768,0.7,0.3,5,adamw,4.606557049895897e-05
47,0.0031887488083305712,0.0031887488083305712,0.002873628190718591,0.0005070334317710387,1024,1024,256,0.8,0.35,4,adamw,0.0003153297160668713
48,0.0060727879338498625,0.0060727879338498625,0.00441128583624959,0.000967382256682237,512,512,768,0.8,0.4,6,adam,8.153677383053643e-05
49,0.00546021994960773,0.00546021994960773,0.004095676346222246,4.402377632618625e-05,128,768,256,0.8,0.3,8,adamw,0.00020359148393469273
50,0.005554133397943872,0.005554133397943872,0.0032223644957412034,3.219728145509039e-05,256,256,768,0.65,0.35,2,adamw,1.3911298107862856e-05
