trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,q_pos,q_neg,optimizer,weight_decay
30,0.002356928919115678,0.002356928919115678,0.00201049152263617,5.194226358974328e-05,128,768,768,0.75,0.25,adamw,0.00011459056231879806
31,0.005083639458741259,0.005083639458741259,0.002855041984003037,1.017082262693058e-05,256,512,128,0.7,0.3,adamw,7.608881610250565e-05
32,0.00247896120042714,0.00247896120042714,0.0021539184300205377,3.253483121543735e-05,128,768,128,0.75,0.25,adamw,3.228057126209589e-05
33,0.002233611125930134,0.002233611125930134,0.0020778104088186654,5.099641442995115e-05,128,768,128,0.75,0.25,adamw,1.742717091069282e-05
34,0.0020514755371197,0.0020514755371197,0.0021629740227650427,7.098597705709533e-05,128,768,128,0.75,0.25,adamw,8.75641580382458e-05
35,0.0022519387925863076,0.0022519387925863076,0.0023032589358737386,9.38607869964682e-05,128,1024,128,0.75,0.35,adamw,0.00012360998765492673
36,0.0048991826772594544,0.0048991826772594544,0.0032093106186948718,2.4728123709532054e-05,256,768,128,0.65,0.35,adam,0.00025155283549991534
37,0.0032833112814592974,0.0032833112814592974,0.0031885692940959646,0.0005167620294412808,64,1024,256,0.6,0.25,adamw,4.04826775993309e-05
38,0.0029799432127869557,0.0029799432127869557,0.002768016653135419,0.0002990481318373899,1024,768,128,0.75,0.4,adam,2.400061406110792e-05
39,0.04774341871011622,0.04774341871011622,0.03632268477231264,0.00017679015343476093,512,1024,256,0.8,0.25,sgd,0.0006510721008465874
40,0.08134921892562205,0.08134921892562205,0.07147951528524897,6.209854264417192e-05,64,512,768,0.65,0.35,sgd,0.0009973635561618234
41,0.10331546982078602,0.10331546982078602,0.09488823618739843,1.3996090092329059e-05,256,256,128,0.6,0.4,sgd,1.002811391500855e-05
42,0.0020608298160145273,0.0020608298160145273,0.002376699569867924,0.0006142947728609336,256,768,256,0.8,0.4,adamw,0.0004176858248903282
43,0.002127881447696472,0.002127881447696472,0.0023281942412722856,0.000930826888126965,256,768,256,0.8,0.4,adamw,0.00016426991261229708
44,0.001641215409522595,0.001641215409522595,0.0023311534081585706,0.0007137263928461682,256,768,256,0.8,0.3,adamw,9.200773416391658e-05
45,0.0037846243750227957,0.0037846243750227957,0.002053798013366759,4.039346745097059e-05,512,512,256,0.8,0.4,adam,5.55838362385369e-05
46,0.0024064248172275516,0.0024064248172275516,0.0023358578739575094,0.00011413145533981994,64,768,768,0.7,0.3,adamw,0.0001968677498616308
47,0.04048380088441226,0.04048380088441226,0.0245391296222806,0.0007289663648815193,1024,1024,256,0.8,0.35,sgd,0.0002712512300516339
48,0.093312782444516,0.093312782444516,0.08475657254457473,2.665217795845026e-05,512,512,768,0.8,0.4,sgd,0.00011544802442367156
49,0.0029667212664747557,0.0029667212664747557,0.0030083545200715336,0.0003892043466121459,128,768,256,0.65,0.3,adamw,0.0004053117893702882
50,0.09732017187816103,0.09732017187816103,0.08840420302003622,0.00029738541788945535,256,256,768,0.8,0.35,sgd,2.3720039325040518e-05
