trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,q_pos,q_neg,optimizer,weight_decay
38,0.004549918130838445,0.004549918130838445,0.003369856742210686,0.0002990481318373899,1024,768,128,0.75,0.4,adam,2.400061406110792e-05
39,0.049120070773880094,0.049120070773880094,0.037959646247327325,0.00017679015343476093,512,1024,256,0.8,0.25,sgd,0.0006510721008465874
40,0.079978867459587,0.079978867459587,0.07001245643492716,6.209854264417192e-05,64,512,768,0.65,0.35,sgd,0.0009973635561618234
41,0.10528358005349288,0.10528358005349288,0.09698843155056239,1.3996090092329059e-05,256,256,128,0.6,0.4,sgd,1.002811391500855e-05
42,0.0032440198494878875,0.0032440198494878875,0.0032185437274165453,0.0006142947728609336,256,768,256,0.8,0.4,adamw,0.0004176858248903282
43,0.0033475693054449604,0.0033475693054449604,0.003387961053522304,0.000930826888126965,256,768,256,0.8,0.4,adamw,0.00016426991261229708
44,0.002806777398630767,0.002806777398630767,0.0029665290378034113,0.0007137263928461682,256,768,256,0.8,0.3,adamw,9.200773416391658e-05
45,0.005253324494221989,0.005253324494221989,0.003213536646217108,4.039346745097059e-05,512,512,256,0.8,0.4,adam,5.55838362385369e-05
46,0.0038110019393492863,0.0038110019393492863,0.003954857957822265,0.00011413145533981994,64,768,768,0.7,0.3,adamw,0.0001968677498616308
47,0.042885798162647655,0.042885798162647655,0.02759614922106266,0.0007289663648815193,1024,1024,256,0.8,0.35,sgd,0.0002712512300516339
48,0.08941493658538983,0.08941493658538983,0.0805539108812809,2.665217795845026e-05,512,512,768,0.8,0.4,sgd,0.00011544802442367156
49,0.004452724215191077,0.004452724215191077,0.0041304179260955205,0.0003892043466121459,128,768,256,0.65,0.3,adamw,0.0004053117893702882
50,0.09896991975472101,0.09896991975472101,0.0902915196493268,0.00029738541788945535,256,256,768,0.8,0.35,sgd,2.3720039325040518e-05
