lr,batch_size,internal_layer_size,optimizer,weight_decay,output_dim,margin,value,state
0.00025631051413890516,128,512,adamw,4.371692143899725e-06,256,0.38597521263851514,-inf,TrialState.COMPLETE
2.571854241480609e-05,1024,1024,adamw,2.4861644553520247e-06,256,0.5640047278717073,-inf,TrialState.COMPLETE
1.7390426780557622e-05,512,1024,adamw,2.1748308248876523e-06,256,0.5197218901110844,-inf,TrialState.COMPLETE
1.4734090307058677e-05,1024,1024,adamw,1.1489281334698985e-06,256,0.3448599104969081,-inf,TrialState.COMPLETE
5.660027935623934e-05,512,1024,adamw,6.067484790276966e-06,256,0.0958280902993577,-inf,TrialState.COMPLETE
2.985884603566152e-05,64,768,adamw,1.731203591977306e-05,512,0.6080782672275135,-inf,TrialState.COMPLETE
4.538605631524884e-05,1024,256,sgd,1.6372814993256186e-06,256,0.4296499097814567,-inf,TrialState.COMPLETE
2.0291628088232228e-05,256,1024,adamw,8.180025750643294e-06,128,0.1592122121873534,-inf,TrialState.COMPLETE
3.628769166827437e-05,64,256,sgd,3.1444122342094433e-06,512,0.5234820525783563,-inf,TrialState.COMPLETE
1.4494689230067207e-05,1024,128,adam,0.0006351484742429481,512,0.21386060602067,-inf,TrialState.COMPLETE
6.888535367796023e-05,64,768,adam,1.4017571447232874e-06,128,0.6832395394353723,-inf,TrialState.COMPLETE
0.00020577692341213977,512,1024,adamw,3.063853235718844e-06,256,0.5493606021574365,-inf,TrialState.COMPLETE
0.0003358108974516822,512,1024,adamw,5.808766666280886e-06,256,0.5943834560946677,-inf,TrialState.COMPLETE
0.00012603628521617248,512,1024,adamw,2.2063416814819434e-06,256,0.48731029074983745,-inf,TrialState.COMPLETE
0.00015684668622236854,512,128,adam,1.081753017569905e-06,256,0.6330879860450127,-inf,TrialState.COMPLETE
0.00048465642973975564,64,512,adamw,4.652507257990945e-05,128,0.45122061678357994,-inf,TrialState.COMPLETE
2.9528133401304505e-05,256,256,adam,1.3709335499484165e-05,512,0.2960161728128806,-inf,TrialState.COMPLETE
4.664981644432151e-05,128,128,adam,7.756171280210585e-06,128,0.5169331544924073,-inf,TrialState.COMPLETE
0.000223611735914344,64,1024,sgd,4.510621084685831e-06,256,0.10554354883186962,-inf,TrialState.COMPLETE
8.012953164435467e-05,1024,256,adam,0.00018164682947662212,512,0.26744216920576835,-inf,TrialState.COMPLETE
