trial_number,best_train_loss,final_train_loss,final_val_loss,val_roc_auc,lr,batch_size,internal_layer_size,output_dim,optimizer,weight_decay,m_neg,gap
37,,,,0.0,3.1320715764248305e-05,512,768,256,adam,9.750609750737033e-05,0.8323300592030319,0.07784511223607185
38,,,,0.0,0.0002990481318373899,1024,512,128,adamw,0.0009459526454484282,0.8232383807280044,0.08695043752559298
39,,,,0.0,0.0002353791019232774,128,768,256,adam,1.02158146264346e-05,0.8755807163729863,0.11802297262209747
40,,,,0.0,0.0007571026611920343,64,256,768,adam,3.534178661948006e-06,0.8557431336669932,0.04901843670626821
41,,,,0.0,0.0005375851767689712,128,512,256,adam,2.1297539111755685e-06,0.8677534264987163,0.09927046713969812
42,,,,0.0,1.5796821387814535e-05,64,768,128,adamw,5.874064122662333e-05,0.869205681615055,0.06988327778068837
43,,,,0.0,1.2033804697362736e-05,64,768,128,adamw,0.00014203592445185715,0.8740069096063806,0.07954586288493985
44,,,,0.0,2.0179952738089584e-05,64,768,128,adamw,9.592974054296223e-05,0.8171465304993407,0.10652791827813252
45,,,,0.0,0.00010364253466542734,256,1024,128,adamw,2.587742742214379e-05,0.7968357313961502,0.1262712132032284
46,,,,0.0,7.117325759378924e-05,1024,512,768,adam,4.703383215309873e-05,0.7814800630642532,0.05281120357783582
47,,,,0.0,4.291285997379899e-05,64,768,128,adamw,0.00047335351549403345,0.8591261610449676,0.13405817071176032
48,,,,0.0,5.4496310755109546e-05,512,512,768,adam,1.5300049627088398e-05,0.8072619519471756,0.11579373218932858
49,,,,0.0,0.0002206027727163746,128,1024,256,adam,0.0001990502749999183,0.8531997713338086,0.08609094460191909
50,,,,0.0,0.00015656523077805276,64,512,768,adamw,6.68432639490617e-06,0.8448202583509431,0.07256297954130722
