trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,tau,optimizer,weight_decay
15,0.08326311740612817,0.08326311740612817,0.11339423517921975,6.577272217963763e-05,64,1024,256,0.040825900777642914,sgd,0.0001146959579468061
16,0.01879387302090638,0.01879387302090638,0.11215861697154984,0.0001133858401260482,128,512,256,0.024558093087233675,adamw,0.00012953685031874787
17,0.10227294478421349,0.10227294478421349,0.17374684361304757,0.00042579880439922363,128,512,512,0.005893735921666782,sgd,5.1492191153411867e-05
18,3.2187332492262146,3.2187332492262146,3.1231826589365674,2.1086908167827972e-05,64,512,512,0.043404316687394855,sgd,0.0004524540905246327
19,5.551243402520004,5.551243402520004,5.5043217420578,5.0108006204724114e-05,512,256,256,0.02158969808279123,sgd,0.00021531350891894905
20,0.029395257291929495,0.029395257291929495,0.17511750654739444,0.00010785006601337609,256,1024,128,0.009074258469684432,adamw,0.0007281935991825222
21,5.808252689789753,5.808252689789753,5.705239582061767,0.00024871300993354505,1024,512,512,0.028016813566025662,sgd,0.00016155377070117762
22,0.01908778245152971,0.01908778245152971,0.10377101826111644,4.110275205609604e-05,128,512,512,0.016797041871000184,adam,0.0005768498279161787
23,0.02196645101061282,0.02196645101061282,0.10907520473782928,2.657625723440864e-05,128,512,512,0.014973782468784936,adam,0.0003043344699306969
24,0.018623964757625972,0.018623964757625972,0.11248167779784218,5.932780282744935e-05,128,512,512,0.0067850277301245935,adam,0.0009565432147560543
25,0.02723609572796025,0.02723609572796025,0.11132324216231598,1.5638943576700537e-05,128,512,512,0.01927763090506965,adam,0.0005266210017669334
26,0.012131346596000837,0.012131346596000837,0.06363344925988029,3.754863508709282e-05,64,512,256,0.010967419993921814,adam,0.00029841162122205915
27,2.2944771969104973,2.2944771969104973,1.8168769954126092,7.637678915985091e-05,128,512,512,0.031728314178755726,sgd,0.000634305687465512
28,0.11656230810792674,0.11656230810792674,0.18513766420810612,0.00012344914284165515,128,1024,512,0.005956871975417221,sgd,7.018825073720045e-05
29,0.01254278789922619,0.01254278789922619,0.0538996388025625,5.32775815753164e-05,64,256,256,0.02724353144527829,adamw,0.00041239591114679936
30,0.01267845710761629,0.01267845710761629,0.07118437368065335,2.7851210693460445e-05,64,768,128,0.01275364641427046,adam,4.01145709368764e-05
31,0.057676131190846164,0.057676131190846164,0.26330792158842087,0.0002530763049925093,512,512,256,0.04870157680511213,adamw,0.0002651005244211883
32,0.021492039563354184,0.021492039563354184,0.04946954064827507,1.085592193448114e-05,64,768,256,0.060766908512145494,adamw,2.3183966418305263e-05
33,0.012518015148123948,0.012518015148123948,0.04752632702090355,0.0001260146346924551,64,768,256,0.035133836889683676,adamw,2.08272971786167e-05
34,0.015660029989543595,0.015660029989543595,0.047839073044586046,0.00016557201738811773,64,768,256,0.053495052620881584,adamw,9.714265353720302e-05
35,0.013069430973741242,0.013069430973741242,0.05316609416887754,8.645338316487303e-05,64,768,128,0.022022286900198015,adam,1.3111536267048658e-05
36,0.08561215804395628,0.08561215804395628,0.29181051775813105,4.283336259730705e-05,512,256,256,0.039708017499838766,adamw,3.441858598577377e-05
37,0.22699885874453102,0.22699885874453102,0.3014692659955472,0.00032274630561604864,256,768,256,0.06345565723657837,sgd,2.9519487305318733e-05
38,0.08990002978517085,0.08990002978517085,0.6092783033847808,0.00014461013789657452,1024,512,128,0.0035658563992098224,adam,6.773569380235356e-05
39,3.6879823710912327,3.6879823710912327,3.513563910617104,3.257486372822338e-05,128,768,256,0.055925571834730965,sgd,0.00015891459662123323
40,0.019389322874691736,0.019389322874691736,0.055235324594878836,0.0008723172294256451,64,256,512,0.013820807469512692,adamw,5.745561612962896e-05
41,3.4650060971984473,3.4650060971984473,3.071829119815102,9.297544305739123e-05,128,512,512,0.0678093313858026,sgd,1.565703975165893e-05
42,1.5512703477154157,1.5512703477154157,1.3135598391104655,1.106071060875616e-05,64,768,128,0.020500331692737628,sgd,9.26347758357931e-05
43,0.4887449535245096,0.4887449535245096,0.33025453500686935,1.584088797757657e-05,64,768,128,0.01792678290700323,sgd,0.0007665587617924755
44,0.1347309147551184,0.1347309147551184,0.15525809113102354,2.2864936756030848e-05,64,768,128,0.009235916600349453,sgd,4.291286177298184e-05
45,0.10580755434501309,0.10580755434501309,0.13199100944481992,7.13481075197406e-05,64,1024,128,0.02454033246505856,sgd,0.00037488264180702375
46,0.5247378843977019,0.5247378843977019,0.8396336641106359,0.00019871187008168597,256,512,256,0.00020719592135825908,sgd,2.7904980912532507e-05
47,1.9577973193051863,1.9577973193051863,1.3105857253074646,0.0005493906346858283,1024,768,512,0.024531641700696653,sgd,0.00022245282016477617
48,0.06604920742006934,0.06604920742006934,0.32828478068113326,4.9132832204135475e-05,512,512,128,0.01008560221145656,adam,0.0001263798033019051
49,1.829849887686922,1.829849887686922,1.6866724589202977,1.3316684040796998e-05,128,1024,256,0.014886052329044335,sgd,8.599706551024887e-05
50,0.01079034846296453,0.01079034846296453,0.04591453047491503,6.32186334072906e-05,64,512,512,0.04725963788846987,adamw,0.0004967007110560776
