trial_number,best_train_loss,final_train_loss,final_val_loss,val_roc_auc,lr,batch_size,internal_layer_size,output_dim,optimizer,weight_decay,m_neg,gap
41,0.0009086407003544119,0.0009086407003544119,0.0005815008931676857,0.9892454331607533,6.836754140806063e-05,512,768,768,adam,0.00041262025883147035,0.8277431402203634,0.10460321572577659
42,0.0008655147669572487,0.0008655147669572487,0.0006709563003593608,0.9911917276992966,4.4853054719430016e-05,128,768,768,adamw,3.348359302602099e-05,0.8020092235104023,0.11963533957444578
43,0.0007313512731957984,0.0007313512731957984,0.0008092702378090293,0.9902084952123315,0.00014737956309461008,64,768,768,adamw,0.00010291482755235643,0.8229511998010712,0.1262037370183783
44,0.0008642218107922727,0.0008642218107922727,0.0006683244973368046,0.9913891409346223,3.155060933637685e-05,128,768,768,adamw,4.6477374606601966e-05,0.813583920187259,0.11477660676931777
45,0.0008345873936128867,0.0008345873936128867,0.0005466136046172462,0.9909136327224232,3.1802220988857006e-05,128,768,768,adamw,4.240085601234495e-05,0.8147456520316714,0.11271038237966576
46,0.0014093075348945606,0.0014093075348945606,0.0009274045355423484,0.990670541946054,1.4510188336685875e-05,128,768,256,adamw,5.701265832952155e-05,0.8358371219787077,0.13539020199022012
47,0.0004969463195412686,0.0004969463195412686,0.0003183266380801797,0.9915605678530834,3.473905184884289e-05,128,768,768,adamw,0.00014816040621762667,0.8302406015103229,0.08596894043462894
48,0.0004068767270104557,0.0004068767270104557,0.000314857635007511,0.9892246310378651,3.618553141280181e-05,128,512,128,adamw,0.00016622687159623673,0.8307116501011379,0.07296209628137339
49,0.0006315670190322454,0.0006315670190322454,0.0002988930997922073,0.9896401942844217,2.3390579684207765e-05,128,256,768,adam,0.00011593726441424389,0.8495556482682133,0.08609378646150619
50,0.0005210957475504695,0.0005210957475504695,0.0003019531865867998,0.9904664851008007,1.4654786282795803e-05,128,768,768,adamw,0.0002513483938730185,0.8399606812106183,0.07734873499150972
