trial_number,best_train_loss,final_train_loss,final_val_loss,lr,batch_size,internal_layer_size,output_dim,tau,optimizer,weight_decay
20,0.03128707862418631,0.03128707862418631,0.17519508973082337,0.00010785006601337609,256,1024,128,0.009074258469684432,adamw,0.0007281935991825222
21,0.8214686920448225,0.8214686920448225,0.8809524297714233,0.00024871300993354505,1024,512,512,0.028016813566025662,sgd,0.00016155377070117762
22,0.018019653761301553,0.018019653761301553,0.11629905223925781,4.110275205609604e-05,128,512,512,0.016797041871000184,adam,0.0005768498279161787
23,0.022084135567233706,0.022084135567233706,0.10467127253613848,2.657625723440864e-05,128,512,512,0.014973782468784936,adam,0.0003043344699306969
24,0.018832677930878276,0.018832677930878276,0.10508525434822412,5.932780282744935e-05,128,512,512,0.0067850277301245935,adam,0.0009565432147560543
25,0.023965483540576413,0.023965483540576413,0.10905591928461991,1.5638943576700537e-05,128,512,512,0.01927763090506965,adam,0.0005266210017669334
26,0.01114873586948148,0.01114873586948148,0.06035767231895218,3.754863508709282e-05,64,512,256,0.010967419993921814,adam,0.00029841162122205915
27,0.12112350183088913,0.12112350183088913,0.16488529188275525,7.637678915985091e-05,128,512,512,0.031728314178755726,sgd,0.000634305687465512
28,0.1124225608472143,0.1124225608472143,0.17637167462347447,0.00012344914284165515,128,1024,512,0.005956871975417221,sgd,7.018825073720045e-05
29,0.012147884071813945,0.012147884071813945,0.05652244935036677,5.32775815753164e-05,64,256,256,0.02724353144527829,adamw,0.00041239591114679936
30,0.012488608922388619,0.012488608922388619,0.06283017253116333,2.7851210693460445e-05,64,768,128,0.01275364641427046,adam,4.01145709368764e-05
31,0.06083556025631118,0.06083556025631118,0.2607440523803234,0.0002530763049925093,512,512,256,0.04870157680511213,adamw,0.0002651005244211883
32,0.02022792365248848,0.02022792365248848,0.046420899768520124,1.085592193448114e-05,64,768,256,0.060766908512145494,adamw,2.3183966418305263e-05
33,0.014622224589304565,0.014622224589304565,0.05154684685585148,0.0001260146346924551,64,768,256,0.035133836889683676,adamw,2.08272971786167e-05
34,0.015666453732965338,0.015666453732965338,0.04687841486624757,0.00016557201738811773,64,768,256,0.053495052620881584,adamw,9.714265353720302e-05
35,0.013673105069240138,0.013673105069240138,0.05369986543553947,8.645338316487303e-05,64,768,128,0.022022286900198015,adam,1.3111536267048658e-05
36,0.08026341333681224,0.08026341333681224,0.29857302382588385,4.283336259730705e-05,512,256,256,0.039708017499838766,adamw,3.441858598577377e-05
37,0.19305620167185278,0.19305620167185278,0.2675971530377865,0.00032274630561604864,256,768,256,0.06345565723657837,sgd,2.9519487305318733e-05
38,0.0905350809726788,0.0905350809726788,0.5652934849262238,0.00014461013789657452,1024,512,128,0.0035658563992098224,adam,6.773569380235356e-05
39,0.6180073007217148,0.6180073007217148,0.466166501746902,3.257486372822338e-05,128,768,256,0.055925571834730965,sgd,0.00015891459662123323
40,0.019744113803382802,0.019744113803382802,0.057685133175417236,0.0008723172294256451,64,256,512,0.013820807469512692,adamw,5.745561612962896e-05
41,0.22241568281446272,0.22241568281446272,0.21516416146408154,9.297544305739123e-05,128,512,512,0.0678093313858026,sgd,1.565703975165893e-05
42,0.1311118479857432,0.1311118479857432,0.1385373875830963,1.106071060875616e-05,64,768,128,0.020500331692737628,sgd,9.26347758357931e-05
43,0.1234200819215534,0.1234200819215534,0.1346964273174667,1.584088797757657e-05,64,768,128,0.01792678290700323,sgd,0.0007665587617924755
44,0.12870896375894197,0.12873344216495752,0.14509549742167116,2.2864936756030848e-05,64,768,128,0.009235916600349453,sgd,4.291286177298184e-05
45,0.09142664164898057,0.09142664164898057,0.11964785257557549,7.13481075197406e-05,64,1024,128,0.02454033246505856,sgd,0.00037488264180702375
46,2.238938289720689,2.238938289720689,3.59736644923687,0.00019871187008168597,256,512,256,0.00020719592135825908,sgd,2.7904980912532507e-05
47,0.31637126420225414,0.31637126420225414,0.7264280319213867,0.0005493906346858283,1024,768,512,0.024531641700696653,sgd,0.00022245282016477617
48,0.06435540376815527,0.06435540376815527,0.3154434397816658,4.9132832204135475e-05,512,512,128,0.01008560221145656,adam,0.0001263798033019051
49,0.16788914450742018,0.16788914450742018,0.20123176936861836,1.3316684040796998e-05,128,1024,256,0.014886052329044335,sgd,8.599706551024887e-05
50,0.011664898399104527,0.011664898399104527,0.04541322708237029,6.32186334072906e-05,64,512,512,0.04725963788846987,adamw,0.0004967007110560776
