flag,model,bin_idx,bin_lo,bin_hi,n,error_rate,werr
unicode_homoglyph,aligned_deja,3,0.02157685160636902,0.029673337936401367,5683,0.0014077071969030442,3.557232050079287e-05
unicode_homoglyph,aligned_deja,4,0.029673337936401367,0.03430074453353882,289,0.0,0.0
unicode_homoglyph,aligned_source,0,0.0,0.00802774727344513,5354,0.2002241314904744,0.0005843051120243636
unicode_homoglyph,aligned_source,1,0.00802774727344513,0.014777213335037231,8050,0.021739130434782608,0.0002238940970497842
unicode_homoglyph,aligned_source,2,0.014777213335037231,0.02207021415233612,10437,0.0034492670307559644,5.871943841780512e-05
unicode_homoglyph,aligned_source,3,0.02207021415233612,0.030103623867034912,5852,0.0008544087491455912,2.1459495296074115e-05
unicode_homoglyph,aligned_source,4,0.030103623867034912,0.03491508960723877,321,0.0,0.0
unicode_homoglyph,aligned_pacifico,0,0.0,0.007944509387016296,5276,0.19465504169825626,0.0005675884157170664
unicode_homoglyph,aligned_pacifico,1,0.007944509387016296,0.014618337154388428,8076,0.01981178801386825,0.0002062428685448558
unicode_homoglyph,aligned_pacifico,2,0.014618337154388428,0.02183227241039276,10406,0.0033634441668268307,5.740236026288087e-05
unicode_homoglyph,aligned_pacifico,3,0.02183227241039276,0.029759883880615234,5910,0.0008460236886632825,2.147546274407866e-05
unicode_homoglyph,aligned_pacifico,4,0.029759883880615234,0.034644126892089844,345,0.0,0.0
unicode_homoglyph,aligned_pacifico,5,0.034644126892089844,0.049009972810745234,1,1.0,0.03501999378204346
hyphen_change,vate,0,0.0,0.014221474528312683,3657,0.3311457478807766,0.002000769419457569
hyphen_change,vate,1,0.014221474528312683,0.026427507400512695,3879,0.11136890951276102,0.002201193185404546
hyphen_change,vate,2,0.026427507400512695,0.039520263671875,4283,0.0324538874620593,0.0010222975906578704
hyphen_change,vate,3,0.039520263671875,0.056232184171676636,3060,0.016013071895424835,0.0007372006286982618
hyphen_change,vate,4,0.056232184171676636,0.067271888256073,2292,0.010034904013961605,0.0005973145547753645
hyphen_change,vate,5,0.067271888256073,0.10144402384757996,828,0.007246376811594203,0.0005781430265177851
hyphen_change,vate,6,0.10144402384757996,0.232882559299469,187,0.0106951871657754,0.0012123183133130404
hyphen_change,aligned_deja,0,0.0,0.007757246494293213,3650,0.3180821917808219,0.001076982560223096
hyphen_change,aligned_deja,1,0.007757246494293213,0.014355868101119995,3791,0.1047217093115273,0.0011137357270047834
hyphen_change,aligned_deja,2,0.014355868101119995,0.02157685160636902,4301,0.026272959776796095,0.00045889125427959186
hyphen_change,aligned_deja,3,0.02157685160636902,0.029673337936401367,2979,0.010741859684457872,0.00027495948769734905
hyphen_change,aligned_deja,4,0.029673337936401367,0.03430074453353882,1277,0.0015661707126076742,4.895963795780669e-05
hyphen_change,aligned_deja,5,0.03430074453353882,0.04834541380405426,1980,0.011111111111111112,0.00039483579722317784
hyphen_change,aligned_deja,6,0.04834541380405426,0.09781527519226074,208,0.004807692307692308,0.00024319296846022972
hyphen_change,aligned_source,0,0.0,0.00802774727344513,3675,0.3224489795918367,0.0011414500158660266
hyphen_change,aligned_source,1,0.00802774727344513,0.014777213335037231,3768,0.09447983014861996,0.0010500991610205097
hyphen_change,aligned_source,2,0.014777213335037231,0.02207021415233612,4253,0.0322125558429344,0.0005713791362879951
hyphen_change,aligned_source,3,0.02207021415233612,0.030103623867034912,3041,0.009536336731338375,0.00024852138018772736
hyphen_change,aligned_source,4,0.030103623867034912,0.03491508960723877,1290,0.011627906976744186,0.0003972151944803637
hyphen_change,aligned_source,5,0.03491508960723877,0.049367728829383825,1969,0.0045708481462671405,0.00016116596467002144
